image_id,pred_category_zero_based,pred_label,predicted_bbox_xywh,score,compared_gt_bbox_xywh,predicted_category_exists,signed_mean_bbox_diff_old_IDR,abs_mean_bbox_diff_audit,bbox_iou_audit,accepted_by_old_calc_IDR,accepted_by_abs_diff_audit,exact_bbox_and_category_match,old_IDR_false_accept
351,12,L1,"[533.90478515625, 828.5951538085938, 276.6666259765625, 207.61907958984375]",0.13636869,"[533.9047619047617, 828.5952380952382, 276.6666666666665, 207.6190476190476]",1,0.000000,0.000000,0.999999,1,1,1,0
351,14,L3,"[636.2857055664062, 1300.0238037109375, 290.952392578125, 207.618896484375]",0.12295953,"[636.285714285714, 1300.0238095238096, 290.9523809523812, 207.6190476190477]",1,0.000000,0.000000,0.999999,1,1,1,0
351,17,S1,"[495.8095397949219, 1997.6427001953125, 214.76187133789062, 172.3809814453125]",0.10741917,"[495.8095238095236, 1997.6428571428573, 214.7619047619046, 172.3809523809523]",1,0.000000,0.000000,0.999998,1,1,1,0
351,13,L2,"[562.4761962890625, 1052.40478515625, 314.76190185546875, 226.6666259765625]",0.10194283,"[562.4761904761901, 1052.404761904762, 314.76190476190504, 226.66666666666674]",1,0.000000,0.000000,1.000000,1,1,1,0
351,15,L4,"[581.5238037109375, 1530.97607421875, 279.047607421875, 233.8096923828125]",0.05605484,"[581.5238095238094, 1530.9761904761906, 279.0476190476188, 233.80952380952385]",1,0.000000,0.000000,0.999999,1,1,1,0
351,16,L5,"[531.5238037109375, 1769.0714111328125, 281.42864990234375, 255.2381591796875]",0.05307137,"[531.5238095238094, 1769.0714285714287, 281.42857142857156, 255.2380952380954]",1,0.000000,0.000000,0.999999,1,1,1,0
352,0,T1,"[982.3809814453125, 1466.7381591796875, 310.0, 226.6666259765625]",0.12312029,,0,,,,0,0,0,0
352,0,T1,"[870.54052734375, 456.6351318359375, 282.972900390625, 191.0810546875]",0.10494005,,0,,,,0,0,0,0
352,0,T1,"[884.0541381835938, 213.39190673828125, 309.99993896484375, 242.43246459960938]",0.10154970,,0,,,,0,0,0,0
352,6,T7,"[948.9190063476562, 40.418922424316406, 288.37835693359375, 207.29730224609375]",0.07219011,,0,,,,0,0,0,0
352,0,T1,"[834.7619018554688, 2221.5, 271.90484619140625, 136.6669921875]",0.06626248,,0,,,,0,0,0,0
352,0,T1,"[937.1429443359375, 1190.547607421875, 317.142822265625, 238.571533203125]",0.06476650,,0,,,,0,0,0,0
352,0,T1,"[867.8378295898438, 689.067626953125, 285.67572021484375, 218.1080322265625]",0.06052113,,0,,,,0,0,0,0
352,0,T1,"[953.8095092773438, 1733.4049072265625, 307.61907958984375, 276.6666259765625]",0.05700016,,0,,,,0,0,0,0
352,0,T1,"[846.666748046875, 1997.6905517578125, 317.1429443359375, 276.6666259765625]",0.05473078,,0,,,,0,0,0,0
352,0,T1,"[894.2857666015625, 940.5476684570312, 319.52392578125, 236.19049072265625]",0.05266343,,0,,,,0,0,0,0
353,17,S1,"[590.7380981445312, 2153.547607421875, 238.5714111328125, 122.380859375]",0.13785590,"[590.7380952380954, 2153.5476190476193, 238.57142857142844, 122.3809523809523]",1,0.000000,0.000000,0.999999,1,1,1,0
353,16,L5,"[666.9285888671875, 1960.6904296875, 302.857177734375, 260.0]",0.13759847,"[666.9285714285716, 1960.6904761904764, 302.85714285714266, 259.9999999999998]",1,0.250000,0.250000,0.999999,1,1,0,1
353,15,L4,"[697.8809814453125, 1677.357177734375, 290.952392578125, 229.047607421875]",0.13533665,"[697.8809523809523, 1677.3571428571431, 290.9523809523812, 229.04761904761904]",1,0.000000,0.000000,1.000000,1,1,1,0
353,14,L3,"[705.0238037109375, 1374.9761962890625, 298.09521484375, 226.6666259765625]",0.13478693,"[705.0238095238096, 1374.9761904761906, 298.0952380952381, 226.66666666666674]",1,0.000000,0.000000,1.000000,1,1,1,0
353,13,L2,"[705.0238037109375, 1089.261962890625, 288.5714111328125, 217.1427001953125]",0.13469084,"[705.0238095238096, 1089.2619047619048, 288.57142857142844, 217.1428571428571]",1,0.000000,0.000000,0.999999,1,1,1,0
353,11,T12,"[712.5731811523438, 551.0975341796875, 295.3658447265625, 236.8292236328125]",0.13447745,"[712.5731707317074, 551.0975609756097, 295.3658536585365, 236.82926829268297]",1,0.000000,0.000000,1.000000,1,1,1,0
353,12,L1,"[693.1190185546875, 817.8333129882812, 298.09521484375, 219.52386474609375]",0.13301894,"[693.1190476190477, 817.8333333333335, 298.0952380952381, 219.5238095238094]",1,0.000000,0.000000,0.999999,1,1,1,0
