image_id,file_name,position,gt_category_zero_based,gt_label,pred_category_zero_based,pred_label,position_match_IDR2,predicted_bbox_xywh,compared_gt_bbox_xywh,predicted_category_exists,signed_mean_bbox_diff_old_IDR,abs_mean_bbox_diff_audit,bbox_iou_audit,accepted_by_old_calc_IDR,accepted_by_abs_diff_audit,old_IDR_false_accept
351,351.png,0,12,L1,12,L1,1,"[533.9047619047617, 828.5952380952382, 276.6666666666665, 207.6190476190476]","[533.9047619047617, 828.5952380952382, 276.6666666666665, 207.6190476190476]",1,0.000000,0.000000,1.000000,1,1,0
351,351.png,1,13,L2,13,L2,1,"[562.4761904761901, 1052.404761904762, 314.76190476190504, 226.66666666666674]","[562.4761904761901, 1052.404761904762, 314.76190476190504, 226.66666666666674]",1,0.000000,0.000000,1.000000,1,1,0
351,351.png,2,14,L3,14,L3,1,"[636.285714285714, 1300.0238095238096, 290.9523809523812, 207.6190476190477]","[636.285714285714, 1300.0238095238096, 290.9523809523812, 207.6190476190477]",1,0.000000,0.000000,1.000000,1,1,0
351,351.png,3,15,L4,15,L4,1,"[581.5238095238094, 1530.9761904761906, 279.0476190476188, 233.80952380952385]","[581.5238095238094, 1530.9761904761906, 279.0476190476188, 233.80952380952385]",1,0.000000,0.000000,1.000000,1,1,0
351,351.png,4,16,L5,16,L5,1,"[531.5238095238094, 1769.0714285714287, 281.42857142857156, 255.2380952380954]","[531.5238095238094, 1769.0714285714287, 281.42857142857156, 255.2380952380954]",1,0.000000,0.000000,1.000000,1,1,0
351,351.png,5,17,S1,17,S1,1,"[495.8095238095236, 1997.6428571428573, 214.7619047619046, 172.3809523809523]","[495.8095238095236, 1997.6428571428573, 214.7619047619046, 172.3809523809523]",1,0.000000,0.000000,1.000000,1,1,0
352,352.png,0,8,T9,6,T7,0,"[948.9189189189188, 40.418918918918784, 288.3783783783782, 207.2972972972973]",,0,,,,0,0,0
352,352.png,1,9,T10,7,T8,0,"[884.0540540540541, 213.39189189189176, 310.0000000000001, 242.43243243243245]",,0,,,,0,0,0
352,352.png,2,10,T11,8,T9,0,"[870.5405405405405, 456.63513513513504, 282.9729729729728, 191.08108108108098]","[948.9189189189188, 40.418918918918784, 288.3783783783782, 207.2972972972973]",1,79.000000,129.000000,0.000000,0,0,0
352,352.png,3,11,T12,9,T10,0,"[867.8378378378378, 689.0675675675674, 285.6756756756755, 218.10810810810813]","[884.0540540540541, 213.39189189189176, 310.0000000000001, 242.43243243243245]",1,102.500000,135.500000,0.000000,0,0,0
352,352.png,4,12,L1,10,T11,0,"[894.2857142857142, 940.547619047619, 319.52380952380963, 236.19047619047637]","[870.5405405405405, 456.63513513513504, 282.9729729729728, 191.08108108108098]",1,147.500000,147.500000,0.000000,0,0,0
352,352.png,5,13,L2,11,T12,0,"[937.1428571428573, 1190.5476190476193, 317.1428571428569, 238.57142857142844]","[867.8378378378378, 689.0675675675674, 285.6756756756755, 218.10810810810813]",1,155.750000,155.750000,0.000000,0,0,0
352,352.png,6,14,L3,12,L1,0,"[982.3809523809523, 1466.7380952380954, 310.0, 226.66666666666674]","[894.2857142857142, 940.547619047619, 319.52380952380963, 236.19047619047637]",1,148.750000,158.250000,0.000000,0,0,0
352,352.png,7,15,L4,13,L2,0,"[953.8095238095239, 1733.4047619047622, 307.6190476190477, 276.6666666666665]","[937.1428571428573, 1190.5476190476193, 317.1428571428569, 238.57142857142844]",1,146.750000,151.750000,0.000000,0,0,0
352,352.png,8,16,L5,14,L3,0,"[846.6666666666665, 1997.6904761904764, 317.14285714285734, 276.66666666666674]","[982.3809523809523, 1466.7380952380954, 310.0, 226.66666666666674]",1,113.000000,181.000000,0.000000,0,0,0
352,352.png,9,17,S1,15,L4,0,"[834.7619047619046, 2221.5, 271.9047619047619, 136.66666666666697]","[953.8095238095239, 1733.4047619047622, 307.6190476190477, 276.6666666666665]",1,48.250000,195.750000,0.000000,0,0,0
353,353.png,0,9,T10,9,T10,1,"[785.7439024390245, 80.36585365853658, 244.14634146341461, 207.56097560975604]","[785.7439024390245, 80.36585365853658, 244.14634146341461, 207.56097560975604]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,1,10,T11,10,T11,1,"[746.7195121951219, 312.0731707317073, 278.29268292682946, 219.75609756097555]","[746.7195121951219, 312.0731707317073, 278.29268292682946, 219.75609756097555]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,2,11,T12,11,T12,1,"[712.5731707317074, 551.0975609756097, 295.3658536585365, 236.82926829268297]","[712.5731707317074, 551.0975609756097, 295.3658536585365, 236.82926829268297]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,3,12,L1,12,L1,1,"[693.1190476190477, 817.8333333333335, 298.0952380952381, 219.5238095238094]","[693.1190476190477, 817.8333333333335, 298.0952380952381, 219.5238095238094]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,4,13,L2,13,L2,1,"[705.0238095238096, 1089.2619047619048, 288.57142857142844, 217.1428571428571]","[705.0238095238096, 1089.2619047619048, 288.57142857142844, 217.1428571428571]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,5,14,L3,14,L3,1,"[705.0238095238096, 1374.9761904761906, 298.0952380952381, 226.66666666666674]","[705.0238095238096, 1374.9761904761906, 298.0952380952381, 226.66666666666674]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,6,15,L4,15,L4,1,"[697.8809523809523, 1677.3571428571431, 290.9523809523812, 229.04761904761904]","[697.8809523809523, 1677.3571428571431, 290.9523809523812, 229.04761904761904]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,7,16,L5,16,L5,1,"[666.9285714285716, 1960.6904761904764, 302.85714285714266, 259.9999999999998]","[666.9285714285716, 1960.6904761904764, 302.85714285714266, 259.9999999999998]",1,0.000000,0.000000,1.000000,1,1,0
353,353.png,8,17,S1,17,S1,1,"[590.7380952380954, 2153.5476190476193, 238.57142857142844, 122.3809523809523]","[590.7380952380954, 2153.5476190476193, 238.57142857142844, 122.3809523809523]",1,0.000000,0.000000,1.000000,1,1,0
