image_id,file_name,gt_vertebrae,old_IDR_correct,IDR2_correct,IRA_exact_sequence,old_IDR_false_accepts
351,351.png,6,6,6,1,0
352,352.png,10,0,0,0,0
353,353.png,9,9,9,1,0
354,354.png,9,9,9,1,0
355,355.png,7,7,7,1,0
356,356.png,9,9,9,1,0
357,357.png,9,9,9,1,0
358,358.png,6,0,0,0,0
359,359.png,7,0,0,0,0
360,360.png,9,0,0,0,0
361,361.png,9,9,9,1,0
362,362.png,10,10,10,1,0
363,363.png,12,12,12,1,0
364,364.png,8,8,8,1,0
365,365.png,10,10,10,1,0
366,366.png,8,8,8,1,0
367,367.png,8,8,8,1,0
368,368.png,9,9,9,1,0
369,369.png,10,10,10,1,0
370,370.png,8,8,8,1,0
371,371.png,8,8,8,1,0
372,372.png,7,7,7,1,0
373,373.png,8,8,8,1,0
374,374.png,8,1,0,0,1
375,375.png,9,9,9,1,0
376,376.png,9,9,9,1,0
377,377.png,9,9,9,1,0
378,378.png,8,8,8,1,0
379,379.png,9,1,0,0,1
380,380.png,10,10,10,1,0
381,381.png,8,8,8,1,0
382,382.png,9,9,9,1,0
383,383.png,13,0,0,0,0
384,384.png,7,7,7,1,0
385,385.png,8,8,8,1,0
386,386.png,8,8,8,1,0
387,387.png,7,7,7,1,0
388,388.png,8,8,8,1,0
389,389.png,10,10,10,1,0
390,390.png,9,9,9,1,0
391,391.png,9,9,9,1,0
392,392.png,9,9,9,1,0
393,393.png,10,10,10,1,0
394,394.png,9,9,9,1,0
395,395.png,7,7,7,1,0
396,396.png,8,0,0,0,0
397,397.png,8,8,8,1,0
398,398.png,9,9,9,1,0
399,399.png,8,8,8,1,0
400,400.png,8,8,8,1,0
401,401.png,10,10,10,1,0
402,402.png,8,0,0,0,0
403,403.png,6,6,6,1,0
404,404.png,6,6,6,1,0
405,405.png,7,7,7,1,0
406,406.png,9,9,9,1,0
407,407.png,10,0,0,0,0
408,408.png,7,7,7,1,0
409,409.png,7,7,7,1,0
410,410.png,8,8,8,1,0
411,411.png,8,1,0,0,1
412,412.png,7,7,7,1,0
413,413.png,7,7,7,1,0
414,414.png,9,9,9,1,0
415,415.png,10,10,10,1,0
416,416.png,7,7,7,1,0
417,417.png,7,7,7,1,0
418,418.png,8,8,8,1,0
419,419.png,6,6,6,1,0
420,420.png,10,0,0,0,0
421,421.png,7,7,7,1,0
422,422.png,8,8,8,1,0
423,423.png,9,9,9,1,0
424,424.png,8,8,8,1,0
425,425.png,8,8,8,1,0
426,426.png,8,8,8,1,0
427,427.png,7,7,7,1,0
428,428.png,8,8,8,1,0
430,430.png,9,0,0,0,0
431,431.png,7,7,7,1,0
432,432.png,9,9,9,1,0
433,433.png,11,0,0,0,0
434,434.png,6,0,0,0,0
435,435.png,9,9,9,1,0
436,436.png,8,8,8,1,0
437,437.png,8,8,8,1,0
438,438.png,7,7,7,1,0
439,439.png,7,0,0,0,0
440,440.png,8,8,8,1,0
441,441.png,7,0,0,0,0
442,442.png,7,7,7,1,0
443,443.png,7,7,7,1,0
444,444.png,11,11,11,1,0
445,445.png,11,0,0,0,0
446,446.png,9,9,9,1,0
447,447.png,9,9,9,1,0
449,449.png,10,10,10,1,0
450,450.png,8,1,0,0,1
451,451.png,10,10,10,1,0
452,452.png,10,0,0,0,0
453,453.png,8,8,8,1,0
454,454.png,9,9,9,1,0
455,455.png,7,0,0,0,0
456,456.png,7,0,0,0,0
457,457.png,10,10,10,1,0
458,458.png,9,9,9,1,0
459,459.png,9,9,9,1,0
460,460.png,10,10,10,1,0
461,461.png,6,6,6,1,0
462,462.png,12,0,0,0,0
463,463.png,10,10,10,1,0
464,464.png,8,8,8,1,0
465,465.png,6,0,0,0,0
466,466.png,9,9,9,1,0
DR_100_s3_e15,DR_100_s3_e15.jpg,13,13,13,1,0
DR_102_s1_e12,DR_102_s1_e12.jpg,12,10,0,0,10
DR_108_s3_e12,DR_108_s3_e12.jpg,10,10,10,1,0
DR_111_s4_e14,DR_111_s4_e14.jpg,11,11,11,1,0
DR_116_s4_e14,DR_116_s4_e14.jpg,11,11,11,1,0
DR_117_s1_e12,DR_117_s1_e12.jpg,12,11,0,0,11
DR_124_s4_e13,DR_124_s4_e13.jpg,10,10,10,1,0
DR_129_s3_e13,DR_129_s3_e13.jpg,11,11,11,1,0
DR_138_s4_e14,DR_138_s4_e14.jpg,11,0,0,0,0
DR_141_s3_e12,DR_141_s3_e12.jpg,10,9,0,0,9
DR_148_s3_e14,DR_148_s3_e14.jpg,12,11,0,0,11
DR_149_s2_e14,DR_149_s2_e14.jpg,13,13,13,1,0
