epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1445,1.50847,4.70809,0.0067,0.36822,0.2096,0.12569,0.09761,0.99605,2.44647,0.00537,0.000149052,0.000149052,0.000149052
2,30.9191,1.07242,2.12509,0.00428,0.36525,0.56777,0.41935,0.32134,0.90386,1.42703,0.00478,0.000300123,0.000300123,0.000300123
3,46.1999,0.99239,1.45039,0.00397,0.54293,0.62525,0.57551,0.43448,0.88729,1.12191,0.00479,0.000450594,0.000450594,0.000450594
4,61.3543,0.95551,1.21746,0.00387,0.60186,0.60939,0.60404,0.46319,0.8627,1.13366,0.0046,0.000452297,0.000452297,0.000452297
5,76.2159,0.94523,1.05975,0.00375,0.60949,0.72835,0.66809,0.50847,0.83147,0.89296,0.00436,0.000451396,0.000451396,0.000451396
6,91.3595,0.91794,0.98451,0.00367,0.66225,0.70624,0.69501,0.5306,0.83331,0.83511,0.00439,0.000450495,0.000450495,0.000450495
7,105.942,0.89408,0.91902,0.00361,0.7115,0.76052,0.7727,0.59367,0.76683,0.72337,0.00403,0.000449595,0.000449595,0.000449595
8,120.961,0.88193,0.81525,0.00349,0.73674,0.75965,0.77898,0.5939,0.82268,0.70047,0.00441,0.000448694,0.000448694,0.000448694
9,137.496,0.86156,0.80695,0.00343,0.67745,0.76717,0.74836,0.58179,0.77173,0.68909,0.00405,0.000447793,0.000447793,0.000447793
10,151.317,0.86039,0.75713,0.00338,0.75857,0.78208,0.8063,0.61,0.81141,0.6316,0.00432,0.000446892,0.000446892,0.000446892
11,169.045,0.84847,0.76788,0.00337,0.69396,0.74284,0.75094,0.58229,0.78085,0.82438,0.0041,0.000445991,0.000445991,0.000445991
12,183.019,0.83529,0.6858,0.00334,0.74816,0.80371,0.82266,0.62739,0.78802,0.62134,0.00404,0.00044509,0.00044509,0.00044509
13,198.809,0.82731,0.65418,0.00324,0.76727,0.77652,0.80379,0.6124,0.8028,0.64318,0.00423,0.000444189,0.000444189,0.000444189
14,213.316,0.81018,0.65501,0.00317,0.76699,0.81119,0.83569,0.64831,0.73968,0.63069,0.00384,0.000443288,0.000443288,0.000443288
15,228.734,0.81577,0.63237,0.00317,0.80357,0.80263,0.85226,0.65661,0.74912,0.56595,0.00391,0.000442387,0.000442387,0.000442387
16,244.016,0.80152,0.59241,0.00312,0.7979,0.79581,0.8371,0.63536,0.77646,0.64607,0.00419,0.000441486,0.000441486,0.000441486
17,258.015,0.80761,0.61965,0.00318,0.7886,0.84605,0.8702,0.67653,0.74575,0.54964,0.0039,0.000440586,0.000440586,0.000440586
18,273.038,0.78941,0.57214,0.00308,0.86166,0.83223,0.89478,0.68646,0.75929,0.5162,0.00392,0.000439685,0.000439685,0.000439685
19,288.494,0.78648,0.58119,0.00303,0.78971,0.79387,0.83145,0.6475,0.75419,0.63651,0.00394,0.000438784,0.000438784,0.000438784
20,302.17,0.78904,0.53326,0.00304,0.83269,0.81554,0.86382,0.67411,0.73884,0.55249,0.00384,0.000437883,0.000437883,0.000437883
21,315.221,0.78839,0.52422,0.00314,0.87018,0.84384,0.90395,0.69986,0.74293,0.48286,0.0039,0.000436982,0.000436982,0.000436982
22,329.888,0.77363,0.54062,0.00311,0.75466,0.80115,0.81052,0.62358,0.75196,0.61755,0.00394,0.000436081,0.000436081,0.000436081
23,343.702,0.78036,0.57463,0.00307,0.82128,0.81244,0.86348,0.66388,0.77075,0.59894,0.00413,0.00043518,0.00043518,0.00043518
24,357.586,0.75896,0.49171,0.00299,0.85614,0.84367,0.88514,0.6901,0.7328,0.51843,0.00386,0.000434279,0.000434279,0.000434279
25,371.384,0.79049,0.49777,0.00317,0.8716,0.87507,0.91621,0.7096,0.73378,0.49482,0.00384,0.000433378,0.000433378,0.000433378
26,386.002,0.76703,0.49575,0.00298,0.84661,0.86013,0.89322,0.68707,0.75285,0.48799,0.00391,0.000432478,0.000432478,0.000432478
27,399.362,0.75617,0.46454,0.00293,0.85074,0.86814,0.90309,0.69708,0.7606,0.48919,0.00397,0.000431577,0.000431577,0.000431577
28,412.933,0.75565,0.45445,0.00296,0.87191,0.87088,0.91362,0.70948,0.7081,0.48104,0.00365,0.000430676,0.000430676,0.000430676
29,426.69,0.74959,0.44927,0.00294,0.8853,0.87317,0.91751,0.71136,0.74915,0.49386,0.00398,0.000429775,0.000429775,0.000429775
30,441.637,0.73511,0.4717,0.00294,0.84943,0.86464,0.89449,0.69224,0.73703,0.52717,0.00382,0.000428874,0.000428874,0.000428874
31,455.444,0.7422,0.48443,0.00293,0.8592,0.84402,0.88661,0.69507,0.7143,0.51707,0.00368,0.000427973,0.000427973,0.000427973
32,469.145,0.7405,0.4658,0.00282,0.86442,0.86966,0.90734,0.70546,0.73945,0.48583,0.00389,0.000427072,0.000427072,0.000427072
33,482.733,0.74778,0.45964,0.00291,0.8705,0.88068,0.90242,0.69613,0.76494,0.504,0.00402,0.000426171,0.000426171,0.000426171
34,496.482,0.73447,0.45013,0.00289,0.84064,0.83149,0.85706,0.6624,0.71943,0.62064,0.00371,0.00042527,0.00042527,0.00042527
35,510.027,0.73439,0.45985,0.00291,0.87822,0.87524,0.91807,0.71369,0.70801,0.48199,0.00366,0.000424369,0.000424369,0.000424369
36,525.34,0.72186,0.41509,0.00281,0.84749,0.87091,0.89925,0.70474,0.70863,0.52223,0.00365,0.000423468,0.000423468,0.000423468
37,539.356,0.71763,0.42084,0.00283,0.8486,0.87649,0.90061,0.70175,0.72454,0.51179,0.00375,0.000422568,0.000422568,0.000422568
38,553.143,0.72143,0.39953,0.00288,0.88414,0.87603,0.91248,0.71213,0.72671,0.46426,0.00382,0.000421667,0.000421667,0.000421667
39,566.591,0.70972,0.37951,0.00269,0.90175,0.86834,0.91571,0.71485,0.728,0.46493,0.0038,0.000420766,0.000420766,0.000420766
40,581.759,0.72428,0.39267,0.00282,0.87966,0.84919,0.88326,0.70284,0.69847,0.51162,0.0036,0.000419865,0.000419865,0.000419865
41,595.429,0.73159,0.42434,0.0028,0.84367,0.86907,0.90113,0.7066,0.71313,0.47184,0.00374,0.000418964,0.000418964,0.000418964
42,609.255,0.71676,0.41686,0.00277,0.86615,0.88059,0.89869,0.70183,0.7205,0.49202,0.00381,0.000418063,0.000418063,0.000418063
43,622.847,0.70136,0.39266,0.00269,0.88555,0.86952,0.90449,0.71102,0.71166,0.5296,0.00374,0.000417162,0.000417162,0.000417162
44,636.429,0.6957,0.36965,0.00265,0.87457,0.86666,0.89415,0.70684,0.69006,0.51398,0.00358,0.000416261,0.000416261,0.000416261
45,650.227,0.69856,0.37186,0.00267,0.87355,0.87161,0.9112,0.71988,0.68733,0.47506,0.00357,0.00041536,0.00041536,0.00041536
46,664.585,0.70509,0.38752,0.00273,0.86617,0.87016,0.90534,0.70456,0.71857,0.47885,0.00376,0.00041446,0.00041446,0.00041446
47,677.9,0.69752,0.39257,0.00276,0.87405,0.87506,0.91439,0.70839,0.73261,0.47448,0.00382,0.000413559,0.000413559,0.000413559
48,691.335,0.68627,0.37286,0.00265,0.89739,0.88131,0.91446,0.71816,0.71865,0.4555,0.00378,0.000412658,0.000412658,0.000412658
49,704.809,0.6907,0.38293,0.00268,0.87513,0.84823,0.88343,0.68853,0.72184,0.54326,0.00377,0.000411757,0.000411757,0.000411757
50,718.352,0.70048,0.37974,0.00268,0.85133,0.89454,0.91311,0.71996,0.69046,0.4509,0.00357,0.000410856,0.000410856,0.000410856
51,732.712,0.68301,0.36937,0.00267,0.89087,0.87308,0.90505,0.7127,0.69808,0.49016,0.00361,0.000409955,0.000409955,0.000409955
